"   ","SOLVEID","TRANSACTIONID","CLOSEID"
"568","10000002","EN20130104431","100001"
"569","10000002","EN20130104432","100003"
"570","10000003","EN20130104433","100003"
"571","10000002","EN20130104434","100003"
"572","10000002","EN20130104435","100001"
"573","10000002","EN20130104436","100001"
"574","10000003","EN20130104437","100003"
"575","10000003","EN20130104438","100001"
"576","10000003","EN20130104439","100003"
"577","10000002","EN20130104440","100001"
"578","10000002","EN20130104441","100001"
"579","10000002","EN20130104442","100001"
"580","10000002","EN20130104443","100001"
"581","10000002","EN20130104444","100001"
"582","10000002","EN20130104445","100001"
"583","10000002","EN20130104447","100001"
"584","10000002","EN20130104448","100001"
"585","10000002","EN20130104449","100001"
"586","10000002","EN20130104450","100003"
"587","10000002","EN20130104451","100001"
"588","10000002","EN20130104452","100001"
"589","10000003","EN20130104453","100001"
"590","10000002","EN20130104454","100001"
"591","10000004","EN20130104455","100003"
"592","10000003","EN20130104456","100003"
"593","10000002","EN20130104457","100001"
"594","10000002","EN20130104458","100003"
"595","10000002","EN20130104459","100001"
"596","10000003","EN20130104460","100003"
"597","10000002","EN20130104461","100001"
"598","10000002","EN20130104462","100001"
"599","10000002","EN20130104463","100001"
"600","10000002","EN20130104464","100001"
"601","10000002","EN20130104465","100001"
"602","10000002","EN20130104466","100001"
"603","10000003","EN20130104467","100003"
"604","10000002","EN20130104468","100003"
"605","10000003","EN20130104469","100001"
"606","10000003","EN20130104470","100001"
"607","10000002","EN20130104471","100003"
"608","10000002","EN20130104472","100003"
"609","10000003","EN20130104473","100003"
"610","10000002","EN20130104474","100003"
"611","10000002","EN20130104475","100001"
"612","10000002","EN20130104476","100001"
"613","10000002","EN20130104477","100001"
"614","10000002","EN20130104478","100001"
"615","10000002","EN20130104480","100001"
"616","10000003","EN20130104481","100003"
"617","10000002","EN20130104482","100001"
"618","10000002","EN20130104483","100001"
"619","10000002","EN20130104484","100001"
"620","10000002","EN20130104485","100001"
"621","10000002","EN20130104486","100001"
"622","10000002","EN20130104487","100001"
"623","10000002","EN20130104488","100001"
"624","10000002","EN20130104489","100001"
"625","10000002","EN20130104490","100001"
"626","10000002","EN20130104491","100001"
"627","10000002","EN20130104492","100001"
"628","10000004","EN20130104493","100001"
"629","10000002","EN20130104494","100001"
"630","10000002","EN20130104495","100001"
"631","10000002","EN20130104496","100001"
"632","10000002","EN20130104497","100001"
"633","10000002","EN20130104498","100001"
"634","10000002","EN20130104499","100001"
"635","10000002","EN20130104500","100001"
"636","10000002","EN20130104501","100001"
"637","10000003","EN20130104502","100001"
"638","10000003","EN20130104503","100003"
"639","10000003","EN20130104504","100001"
"640","10000002","EN20130104505","100001"
"641","10000003","EN20130104506","100003"
"642","10000002","EN20130104507","100001"
"643","10000002","EN20130104508","100001"
"644","10000002","EN20130104509","100001"
"645","10000002","EN20130104510","100001"
"646","10000002","EN20130104511","100001"
"647","10000002","EN20130104512","100003"
"648","10000002","EN20130104513","100001"
"649","10000002","EN20130104514","100003"
"650","10000002","EN20130104515","100003"
"651","10000003","EN20130104516","100003"
"652","10000002","EN20130104517","100001"
"653","10000002","EN20130104518","100003"
"654","10000002","EN20130104519","100001"
"655","10000002","EN20130104520","100001"
"656","10000002","EN20130104521","100001"
"657","10000002","EN20130104522","100001"
"658","10000003","EN20130104523","100003"
"659","10000002","EN20130104524","100001"
"660","10000002","EN20130104525","100001"
"661","10000002","EN20130104526","100001"
"662","10000002","EN20130104527","100003"
"663","10000003","EN20130104528","100003"
"664","10000003","EN20130104530","100003"
"665","10000002","EN20130104531","100001"
"666","10000002","EN20130104533","100001"
"667","10000002","EN20130104534","100001"
"668","10000002","EN20130104535","100001"
"669","10000002","EN20130104536","100001"
"670","10000002","EN20130104537","100001"
"671","10000002","EN20130104538","100001"
"672","10000002","EN20130104539","100001"
"673","10000004","EN20130104540","100003"
"674","10000003","EN20130104541","100003"
"675","10000002","EN20130104542","100001"
"676","10000002","EN20130104543","100001"
"677","10000002","EN20130104544","100001"
"678","10000002","EN20130104545","100001"
"679","10000002","EN20130104546","100001"
"680","10000002","EN20130104547","100001"
"681","10000002","EN20130104549","100001"
"682","10000002","EN20130104550","100001"
"683","10000002","EN20130104551","100001"
"684","10000003","EN20130104552","100003"
"685","10000002","EN20130104553","100001"
"686","10000003","EN20130104554","100003"
"687","10000002","EN20130104555","100001"
"688","10000002","EN20130104556","100001"
"689","10000003","EN20130104557","100003"
"690","10000002","EN20130104558","100001"
"691","10000002","EN20130104559","100001"
"692","10000002","EN20130104560","100001"
"693","10000002","EN20130104561","100001"
"694","10000002","EN20130104562","100001"
"695","10000002","EN20130104563","100001"
"696","10000002","EN20130104564","100001"
"697","10000003","EN20130104565","100003"
"698","10000002","EN20130104566","100003"
"699","10000002","EN20130104567","100003"
"700","10000003","EN20130104568","100003"
"701","10000002","EN20130104569","100001"
"702","10000003","EN20130104570","100003"
"703","10000002","EN20130104571","100001"
"704","10000003","EN20130104572","100003"
"705","10000003","EN20130104573","100003"
"706","10000002","EN20130104574","100001"
"707","10000003","EN20130104575","100003"
"708","10000002","EN20130104576","100001"
"709","10000002","EN20130104577","100001"
"710","10000002","EN20130104578","100001"
"711","10000002","EN20130104579","100001"
"712","10000002","EN20130104580","100001"
"713","10000002","EN20130104581","100001"
"714","10000002","EN20130104582","100001"
"715","10000002","EN20130104583","100001"
"716","10000002","EN20130104584","100001"
"717","10000003","EN20130104585","100001"
"718","10000004","EN20130104586","100003"
"719","10000004","EN20130104587","100005"
"720","10000002","EN20130104588","100001"
"721","10000002","EN20130104589","100001"
"722","10000002","EN20130104590","100001"
"723","10000002","EN20130105001","100003"
"724","10000002","EN20130105002","100001"
"725","10000002","EN20130105003","100003"
"726","10000003","EN20130105004","100003"
