"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000003","EN20121106283","100003","12","云电同方"
"10000002","EN20121106284","100001","202","昆明能讯"
"10000002","EN20121106285","100001","203","远信科技"
"10000002","EN20121106286","100001","203","远信科技"
"10000002","EN20121106287","100001","203","远信科技"
"10000002","EN20121106288","100001","202","昆明能讯"
"10000002","EN20121106289","100001","202","昆明能讯"
"10000002","EN20121106290","100001","203","远信科技"
"10000002","EN20121106291","100001","203","远信科技"
"10000002","EN20121106292","100001","203","远信科技"
"10000002","EN20121106293","100001","203","远信科技"
"10000002","EN20121106294","100001","203","远信科技"
"10000002","EN20121106295","100001","203","远信科技"
"10000003","EN20121106296","100003","12","云电同方"
"10000002","EN20121106297","100001","203","远信科技"
"10000002","EN20121106298","100003","202","昆明能讯"
"10000002","EN20121106299","100001","203","远信科技"
"10000002","EN20121106300","100001","12","云电同方"
"10000003","EN20121106301","100001","202","昆明能讯"
"10000002","EN20121106302","100001","12","云电同方"
"10000003","EN20121106303","100003","12","云电同方"
"10000003","EN20121106304","100001","203","远信科技"
"10000003","EN20121106305","100001","203","远信科技"
"10000002","EN20121106306","100001","202","昆明能讯"
"10000002","EN20121106307","100001","12","云电同方"
"10000002","EN20121106308","100001","203","远信科技"
"10000002","EN20121106309","100001","203","远信科技"
"10000002","EN20121106310","100001","202","昆明能讯"
"10000002","EN20121106311","100001","202","昆明能讯"
"10000002","EN20121106312","100001","12","云电同方"
"10000002","EN20121106313","100001","203","远信科技"
"10000003","EN20121106314","100003","12","云电同方"
"10000002","EN20121106315","100001","12","云电同方"
"10000002","EN20121106316","100001","203","远信科技"
"10000002","EN20121106317","100001","12","云电同方"
"10000002","EN20121106318","100001","203","远信科技"
"10000003","EN20121106319","100003","12","云电同方"
"10000002","EN20121106320","100001","202","昆明能讯"
"10000002","EN20121106321","100001","203","远信科技"
"10000002","EN20121106322","100001","12","云电同方"
"10000002","EN20121106323","100003","202","昆明能讯"
"10000002","EN20121106324","100001","203","远信科技"
"10000002","EN20121106325","100001","12","云电同方"
"10000002","EN20121106326","100001","202","昆明能讯"
"10000003","EN20121106327","100001","202","昆明能讯"
"10000002","EN20121106328","100001","203","远信科技"
"10000002","EN20121106329","100001","202","昆明能讯"
"10000002","EN20121106330","100001","12","云电同方"
"10000002","EN20121106331","100001","12","云电同方"
"10000002","EN20121106332","100001","202","昆明能讯"
"10000002","EN20121106333","100005","202","昆明能讯"
"10000002","EN20121106334","100001","202","昆明能讯"
"10000002","EN20121106335","100001","203","远信科技"
"10000002","EN20121106336","100001","203","远信科技"
"10000002","EN20121106337","100001","203","远信科技"
"10000002","EN20121106338","100001","202","昆明能讯"
"10000003","EN20121106339","100003","12","云电同方"
"10000002","EN20121106340","100001","203","远信科技"
"10000003","EN20121106341","100001","18","玉溪供电局"
"10000002","EN20121106342","100001","203","远信科技"
"10000002","EN20121106343","100001","203","远信科技"
"10000002","EN20121106344","100001","203","远信科技"
"10000002","EN20121106345","100001","12","云电同方"
"10000002","EN20121106346","100001","203","远信科技"
"10000003","EN20121106347","100003","12","云电同方"
"10000002","EN20121106348","100001","203","远信科技"
"10000003","EN20121106349","100001","203","远信科技"
"10000002","EN20121106350","100001","203","远信科技"
"10000002","EN20121106351","100001","12","云电同方"
"10000002","EN20121106352","100001","203","远信科技"
"10000002","EN20121106353","100001","203","远信科技"
