"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20120515233","100001","203","远信科技"
"10000002","EN20120515234","100001","203","远信科技"
"10000003","EN20120515235","100003","12","云电同方"
"10000002","EN20120515236","100001","203","远信科技"
"10000002","EN20120515237","100001","12","云电同方"
"10000002","EN20120515238","100001","203","远信科技"
"10000003","EN20120515239","100001","203","远信科技"
"10000002","EN20120515240","100001","202","昆明能讯"
"10000002","EN20120515241","100001","203","远信科技"
"10000002","EN20120515242","100001","203","远信科技"
"10000002","EN20120515243","100001","12","云电同方"
"10000002","EN20120515244","100001","203","远信科技"
"10000002","EN20120515245","100001","203","远信科技"
"10000002","EN20120515246","100001","203","远信科技"
"10000002","EN20120515247","100001","203","远信科技"
"10000002","EN20120515248","100001","12","云电同方"
"10000002","EN20120515249","100001","203","远信科技"
"10000002","EN20120515250","100001","203","远信科技"
"10000002","EN20120515251","100001","203","远信科技"
"10000003","EN20120515252","100001","203","远信科技"
"10000002","EN20120515253","100001","202","昆明能讯"
"10000002","EN20120515254","100001","203","远信科技"
