"SOLVEID","TRANSACTIONID","CLOSEID","ORGID","ORGNAME"
"10000002","EN20120702254","100001","12","云电同方"
"10000002","EN20120702255","100001","202","昆明能讯"
"10000002","EN20120702256","100001","12","云电同方"
"10000002","EN20120702257","100001","202","昆明能讯"
"10000002","EN20120702258","100001","203","远信科技"
"10000002","EN20120702259","100001","203","远信科技"
"10000003","EN20120702260","100003","12","云电同方"
"10000002","EN20120702261","100001","203","远信科技"
"10000002","EN20120702262","100001","12","云电同方"
"10000002","EN20120702263","100001","12","云电同方"
"10000002","EN20120702264","100001","202","昆明能讯"
"10000003","EN20120702265","100003","12","云电同方"
"10000002","EN20120702266","100001","203","远信科技"
"10000002","EN20120702267","100001","12","云电同方"
"10000002","EN20120702268","100001","202","昆明能讯"
"10000002","EN20120702269","100001","12","云电同方"
"10000002","EN20120702270","100001","202","昆明能讯"
"10000002","EN20120702271","100001","203","远信科技"
"10000002","EN20120702272","100001","12","云电同方"
"10000002","EN20120702273","100001","203","远信科技"
"10000002","EN20120702274","100001","203","远信科技"
"10000003","EN20120702275","100003","12","云电同方"
"10000002","EN20120702276","100001","202","昆明能讯"
"10000003","EN20120702277","100001","203","远信科技"
"10000002","EN20120702278","100001","12","云电同方"
"10000002","EN20120702279","100001","203","远信科技"
"10000002","EN20120702280","100001","12","云电同方"
"10000002","EN20120702281","100001","203","远信科技"
"10000002","EN20120702282","100001","203","远信科技"
"10000002","EN20120702283","100001","12","云电同方"
"10000002","EN20120702284","100001","203","远信科技"
"10000002","EN20120702285","100001","12","云电同方"
"10000002","EN20120702286","100001","203","远信科技"
"10000002","EN20120702287","100001","203","远信科技"
"10000002","EN20120702288","100001","12","云电同方"
"10000002","EN20120702289","100001","12","云电同方"
"10000003","EN20120702290","100003","12","云电同方"
"10000002","EN20120702291","100001","202","昆明能讯"
"10000002","EN20120702292","100001","203","远信科技"
"10000002","EN20120702293","100001","203","远信科技"
"10000002","EN20120702294","100001","12","云电同方"
"10000002","EN20120702295","100001","203","远信科技"
"10000002","EN20120702296","100001","202","昆明能讯"
"10000002","EN20120702297","100001","203","远信科技"
"10000002","EN20120702298","100001","12","云电同方"
"10000002","EN20120702299","100001","203","远信科技"
"10000002","EN20120702300","100001","203","远信科技"
"10000002","EN20120702301","100001","203","远信科技"
"10000002","EN20120702302","100001","12","云电同方"
"10000002","EN20120702303","100001","12","云电同方"
"10000002","EN20120702304","100001","12","云电同方"
"10000002","EN20120702305","100001","202","昆明能讯"
"10000002","EN20120702306","100001","12","云电同方"
"10000002","EN20120702307","100001","202","昆明能讯"
"10000002","EN20120702308","100001","202","昆明能讯"
"10000002","EN20120702309","100001","12","云电同方"
"10000002","EN20120702310","100001","12","云电同方"
"10000002","EN20120702311","100001","203","远信科技"
"10000003","EN20120702312","100003","12","云电同方"
"10000002","EN20120702313","100001","12","云电同方"
"10000002","EN20120702314","100001","203","远信科技"
"10000002","EN20120702315","100001","12","云电同方"
"10000003","EN20120702316","100003","12","云电同方"
"10000002","EN20120702317","100001","203","远信科技"
"10000002","EN20120702318","100001","202","昆明能讯"
"10000002","EN20120702319","100001","203","远信科技"
"10000002","EN20120702320","100001","12","云电同方"
"10000002","EN20120702321","100003","12","云电同方"
"10000003","EN20120702321","100003","12","云电同方"
"10000002","EN20120702322","100001","12","云电同方"
"10000002","EN20120702323","100001","12","云电同方"
"10000002","EN20120702324","100001","12","云电同方"
"10000002","EN20120703001","100001","12","云电同方"
"10000002","EN20120703002","100001","12","云电同方"
"10000002","EN20120703003","100001","12","云电同方"
"10000003","EN20120703004","100003","12","云电同方"
"10000003","EN20120703005","100001","203","远信科技"
"10000002","EN20120703006","100001","203","远信科技"
"10000002","EN20120703007","100001","203","远信科技"
"10000002","EN20120703008","100001","12","云电同方"
"10000002","EN20120703009","100001","12","云电同方"
"10000002","EN20120703010","100001","12","云电同方"
"10000002","EN20120703011","100001","12","云电同方"
"10000002","EN20120703012","100001","12","云电同方"
"10000002","EN20120703013","100001","203","远信科技"
"10000002","EN20120703014","100001","203","远信科技"
"10000002","EN20120703015","100001","203","远信科技"
"10000002","EN20120703016","100001","202","昆明能讯"
"10000003","EN20120703017","100003","12","云电同方"
"10000002","EN20120703018","100001","203","远信科技"
"10000002","EN20120703019","100001","203","远信科技"
"10000002","EN20120703020","100001","12","云电同方"
"10000002","EN20120703021","100001","202","昆明能讯"
"10000002","EN20120703022","100001","203","远信科技"
"10000002","EN20120703023","100001","12","云电同方"
"10000002","EN20120703024","100001","203","远信科技"
"10000002","EN20120703025","100001","12","云电同方"
"10000002","EN20120703026","100001","203","远信科技"
"10000003","EN20120703027","100001","203","远信科技"
"10000002","EN20120703028","100001","12","云电同方"
"10000002","EN20120703029","100001","12","云电同方"
"10000002","EN20120703030","100001","12","云电同方"
"10000002","EN20120703031","100001","202","昆明能讯"
"10000002","EN20120703032","100001","12","云电同方"
"10000002","EN20120703033","100001","12","云电同方"
"10000002","EN20120703034","100001","203","远信科技"
"10000003","EN20120703035","100001","203","远信科技"
"10000002","EN20120703036","100001","203","远信科技"
"10000003","EN20120703037","100003","12","云电同方"
"10000002","EN20120703038","100001","202","昆明能讯"
"10000002","EN20120703039","100001","202","昆明能讯"
"10000002","EN20120703040","100001","12","云电同方"
"10000002","EN20120703041","100001","202","昆明能讯"
"10000002","EN20120703042","100001","12","云电同方"
"10000003","EN20120703043","100001","203","远信科技"
"10000002","EN20120703044","100001","203","远信科技"
"10000003","EN20120703045","100001","12","云电同方"
"10000002","EN20120703046","100001","203","远信科技"
"10000002","EN20120703047","100001","203","远信科技"
"10000003","EN20120703048","100001","203","远信科技"
"10000002","EN20120703049","100001","12","云电同方"
"10000003","EN20120703050","100003","202","昆明能讯"
"10000002","EN20120703051","100001","12","云电同方"
"10000003","EN20120703052","100003","12","云电同方"
"10000002","EN20120703053","100001","203","远信科技"
"10000003","EN20120703054","100001","203","远信科技"
"10000002","EN20120703055","100001","12","云电同方"
"10000002","EN20120703056","100001","12","云电同方"
"10000002","EN20120703057","100001","203","远信科技"
"10000002","EN20120703058","100001","202","昆明能讯"
"10000002","EN20120703059","100001","203","远信科技"
"10000002","EN20120703060","100001","202","昆明能讯"
"10000002","EN20120703061","100001","202","昆明能讯"
"10000002","EN20120703062","100001","12","云电同方"
"10000002","EN20120703063","100001","203","远信科技"
"10000002","EN20120703064","100001","202","昆明能讯"
"10000002","EN20120703065","100001","202","昆明能讯"
"10000002","EN20120703066","100001","12","云电同方"
"10000003","EN20120703067","100001","203","远信科技"
"10000003","EN20120703068","100003","12","云电同方"
"10000002","EN20120703069","100001","203","远信科技"
"10000002","EN20120703070","100001","202","昆明能讯"
"10000002","EN20120703071","100001","12","云电同方"
"10000002","EN20120703072","100001","203","远信科技"
"10000002","EN20120703073","100001","12","云电同方"
"10000002","EN20120703074","100001","203","远信科技"
"10000002","EN20120703075","100001","202","昆明能讯"
"10000003","EN20120703076","100003","12","云电同方"
"10000002","EN20120703077","100001","203","远信科技"
"10000002","EN20120703078","100001","12","云电同方"
"10000003","EN20120703079","100003","12","云电同方"
"10000003","EN20120703080","100003","12","云电同方"
"10000002","EN20120703081","100001","203","远信科技"
"10000003","EN20120703082","100001","12","云电同方"
"10000002","EN20120703083","100001","202","昆明能讯"
"10000002","EN20120703084","100001","12","云电同方"
"10000002","EN20120703085","100001","202","昆明能讯"
"10000002","EN20120703086","100001","203","远信科技"
"10000002","EN20120703087","100001","203","远信科技"
"10000002","EN20120703088","100001","203","远信科技"
"10000002","EN20120703089","100001","12","云电同方"
"10000002","EN20120703090","100001","203","远信科技"
"10000002","EN20120703091","100001","203","远信科技"
"10000003","EN20120703092","100001","203","远信科技"
"10000002","EN20120703093","100001","12","云电同方"
"10000002","EN20120703094","100001","203","远信科技"
"10000002","EN20120703095","100001","203","远信科技"
"10000002","EN20120703096","100001","202","昆明能讯"
"10000002","EN20120703097","100001","203","远信科技"
"10000002","EN20120703098","100001","203","远信科技"
"10000002","EN20120703099","100001","202","昆明能讯"
"10000002","EN20120703100","100001","203","远信科技"
"10000002","EN20120703101","100001","203","远信科技"
"10000003","EN20120703102","100003","202","昆明能讯"
"10000003","EN20120703103","100001","12","云电同方"
"10000003","EN20120703104","100001","203","远信科技"
"10000002","EN20120703105","100001","203","远信科技"
"10000002","EN20120703106","100001","203","远信科技"
"10000002","EN20120703107","100001","12","云电同方"
"10000002","EN20120703108","100001","203","远信科技"
"10000002","EN20120703109","100001","203","远信科技"
"10000002","EN20120703110","100001","203","远信科技"
"10000002","EN20120703111","100001","203","远信科技"
"10000002","EN20120703112","100001","203","远信科技"
"10000002","EN20120703113","100001","202","昆明能讯"
"10000002","EN20120703114","100001","12","云电同方"
"10000002","EN20120703115","100001","12","云电同方"
"10000003","EN20120703116","100001","12","云电同方"
"10000002","EN20120703117","100001","203","远信科技"
"10000003","EN20120703118","100001","203","远信科技"
"10000003","EN20120703119","100001","203","远信科技"
"10000002","EN20120703120","100001","12","云电同方"
"10000002","EN20120703121","100001","12","云电同方"
"10000002","EN20120703123","100001","203","远信科技"
"10000002","EN20120703124","100001","12","云电同方"
"10000003","EN20120703125","100001","203","远信科技"
"10000002","EN20120703126","100001","12","云电同方"
"10000002","EN20120703127","100001","202","昆明能讯"
